	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
317	0.00736	0.21116	0.01850	-0.04695	0.51706	0.02496
318	0.00744	0.21150	0.01871	-0.04734	0.51719	0.02488
319	0.00757	0.21185	0.01881	-0.04745	0.51728	0.02482
320	0.00775	0.21220	0.01883	-0.04732	0.51732	0.02479
321	0.00797	0.21253	0.01876	-0.04704	0.51736	0.02481
322	0.00821	0.21285	0.01862	-0.04670	0.51739	0.02491
323	0.00845	0.21312	0.01841	-0.04638	0.51745	0.02513
324	0.00867	0.21335	0.01814	-0.04613	0.51754	0.02555
325	0.00885	0.21354	0.01781	-0.04598	0.51768	0.02625
326	0.00898	0.21373	0.01748	-0.04593	0.51791	0.02734
327	0.00905	0.21392	0.01715	-0.04593	0.51824	0.02894
328	0.00909	0.21408	0.01686	-0.04593	0.51872	0.03116
329	0.00914	0.21417	0.01658	-0.04583	0.51935	0.03410
330	0.00922	0.21415	0.01628	-0.04555	0.52013	0.03783
331	0.00934	0.21401	0.01591	-0.04497	0.52106	0.04238
332	0.00950	0.21379	0.01548	-0.04396	0.52211	0.04777
333	0.00967	0.21353	0.01498	-0.04246	0.52331	0.05397
334	0.00981	0.21330	0.01449	-0.04041	0.52468	0.06098
335	0.00989	0.21311	0.01407	-0.03786	0.52625	0.06883
336	0.00989	0.21296	0.01373	-0.03486	0.52805	0.07751
337	0.00984	0.21280	0.01349	-0.03150	0.53004	0.08698
338	0.00976	0.21257	0.01331	-0.02788	0.53215	0.09715
339	0.00966	0.21225	0.01317	-0.02412	0.53425	0.10788
340	0.00954	0.21186	0.01305	-0.02030	0.53616	0.11898
341	0.00939	0.21143	0.01298	-0.01644	0.53769	0.13033
342	0.00923	0.21103	0.01296	-0.01255	0.53872	0.14182
343	0.00907	0.21069	0.01300	-0.00866	0.53919	0.15349
344	0.00894	0.21042	0.01308	-0.00484	0.53911	0.16550
345	0.00886	0.21020	0.01318	-0.00114	0.53861	0.17803
346	0.00883	0.21006	0.01325	0.00244	0.53784	0.19120
347	0.00886	0.21001	0.01324	0.00595	0.53702	0.20502
348	0.00894	0.21007	0.01314	0.00942	0.53640	0.21941
349	0.00907	0.21023	0.01296	0.01280	0.53627	0.23416
350	0.00921	0.21046	0.01271	0.01604	0.53690	0.24905
351	0.00933	0.21071	0.01243	0.01913	0.53846	0.26386
352	0.00940	0.21094	0.01215	0.02212	0.54108	0.27849
353	0.00941	0.21111	0.01190	0.02515	0.54484	0.29290
354	0.00934	0.21122	0.01170	0.02832	0.54985	0.30706
355	0.00922	0.21130	0.01157	0.03174	0.55624	0.32096
